FILENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME
M11021072_____CD34__transduced_with_library_7_LT9_sampled_LT9_i527_S22_L003_R1_001.fastq	M11021072	NA	NA	NA	NA	CD34	NA	transduced with library 7	LT9	M11021072     CD34  transduced with library 7 LT9
M11021072_____CD34__transduced_with_library_11_LT9_sampled_LT9_i528_S23_L003_R1_001.fastq	M11021072	NA	NA	NA	NA	CD34	NA	transduced with library 11	LT9	M11021072     CD34  transduced with library 11 LT9
M11021072_____CD34__transduced_with_libraries_7_and_11_LT9_sampled_LT9_i529_S24_L003_R1_001.fastq	M11021072	NA	NA	NA	NA	CD34	NA	transduced with libraries 7 and 11	LT9	M11021072     CD34  transduced with libraries 7 and 11 LT9
M11021072__2018_03_29_GFP_YFP_Mix___LT13_sampled_LT13_i502_S49_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	GFP YFP Mix	NA	NA	LT13	M11021072  2018 03 29 GFP YFP Mix   LT13
M11021072__2018_04_05_CBC___LT13_sampled_LT13_i503_S50_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	CBC	NA	NA	LT13	M11021072  2018 04 05 CBC   LT13
M11021072__2018_04_13_CBC___LT13_sampled_LT13_i504_S51_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	CBC	NA	NA	LT13	M11021072  2018 04 13 CBC   LT13
M11021072__2018_04_13_T___LT13_sampled_LT13_i505_S52_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	T	NA	NA	LT13	M11021072  2018 04 13 T   LT13
M11021072__2018_04_13_B___LT13_sampled_LT13_i506_S53_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	B	NA	NA	LT13	M11021072  2018 04 13 B   LT13
M11021072__2018_04_13_Mono___LT13_sampled_LT13_i507_S54_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	Mono	NA	NA	LT13	M11021072  2018 04 13 Mono   LT13
M11021072__2018_04_13_NK___LT13_sampled_LT13_i510_S55_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	NK	NA	NA	LT13	M11021072  2018 04 13 NK   LT13
M11021072__2018_04_13_Grans___LT13_sampled_LT13_i511_S56_L007_R1_001.fastq	M11021072	NA	NA	NA	NA	Grans	NA	NA	LT13	M11021072  2018 04 13 Grans   LT13
ZJ09_____CD34__transduced_with_lib_7_and_11_DA1_sampled_DA1_i521_S17_L002_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	no 1
ZJ09_____CD34__transduced_with_lib_11_DA1_sampled_DA1_i520_S16_L002_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	no 2
ZJ09_____CD34__transduced_with_lib_7_DA1_sampled_DA1_i519_S15_L002_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	no 3
ZJ09_____CD34__untransduced_DA1_sampled_DA1_i518_S14_L002_R1_001.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	no 4
