FILENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME
zj25_12hm_B_pp_50trim_SP18_R12_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5m B
zj25_12hm_Gr_pp_50trim_SP18_R6_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5m Gr
zj25_12hm_Mono_pp_50trim_SP19_R1_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5m Mono
zj25_12hm_NK_pp_50trim_SP19_R2_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5m NK
zj25_12hm_T_pp_50trim_SP18_R9_FIRSTRUN.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5m T
SP4_R38_ZJ251mnthBcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m B
SP4_R35_ZJ251mnthGFPposgrans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m Gr
SP4_R23_ZJ251mnthMonocytes.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m Mono
SP4_R36_ZJ251mnthCD16pNK.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m NK CD16
SP4_R22_ZJ251mnthTcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	1m T
SP3_R14_ZJ25_2mnth_Bcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m B
SP3_R11_ZJ25_2mnth_GFPpgrans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m Gr
SP10_R7_ZJ25_2m_monocytes.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m Mono
SP3_R16_ZJ25_2mnth_NK16.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m NK CD16
SP4_R20_ZJ252mnthTcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2m T
SP3_R6_ZJ25_2wkgrans_repeat.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	2wk Gr rep
SP9_R24_ZJ25_4_5m_Bcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m B
SP9_R27_ZJ25_4_5m_grans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m Gr SP9
SP10_R1_ZJ25_4m_GFPPosgrans.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m Gr SP10
SP9_R30_ZJ25_4_5m_CD34neg_leftBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m LBM CD34n
SP9_R28_ZJ25_4_5m_CD34pos_leftBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m LBM CD34p
SP9_R43_ZJ25_4_5m_grans_leftBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m LBM Gr
SP9_R25_ZJ25_4_5m_Mono.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m Mono
SP9_R26_ZJ25_4_5m_NKcells.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m NK
SP9_R42_ZJ25_4_5m_CD34neg_rightBM.fastq	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5m RBM CD34n
